"751 [ 39, 10 ] ac jh"	23428	46.86%
"1189 [ 49, 13 ] jc ad"	23415	46.83%
"764 [ 39, 23 ] ac jd"	23408	46.82%
"348 [ 26, 23 ] as jd"	23406	46.81%
"253 [ 23, 0 ] jd ah"	23357	46.71%
"515 [ 32, 19 ] 7s 7d"	23339	46.68%
"322 [ 25, 22 ] kd td"	23319	46.64%
"738 [ 38, 35 ] ks ts"	23276	46.55%
"223 [ 21, 13 ] 9d ad"	23249	46.50%
"1120 [ 47, 39 ] 9c ac"	23203	46.41%
"1323 [ 51, 48 ] kc tc"	23180	46.36%
"28 [ 8, 0 ] 9h ah"	23131	46.26%
"587 [ 34, 26 ] 9s as"	23108	46.22%
"1263 [ 50, 38 ] qc ks"	23037	46.07%
"75 [ 12, 9 ] kh th"	23001	46.00%
"1128 [ 48, 0 ] tc ah"	22985	45.97%
"776 [ 39, 35 ] ac ts"	22960	45.92%
"231 [ 22, 0 ] td ah"	22959	45.92%
"608 [ 35, 13 ] ts ad"	22955	45.91%
"1154 [ 48, 26 ] tc as"	22944	45.89%
"299 [ 24, 23 ] qd jd"	22936	45.87%
"1286 [ 51, 11 ] kc qh"	22932	45.86%
"311 [ 25, 11 ] kd qh"	22919	45.84%
"1141 [ 48, 13 ] tc ad"	22908	45.82%
"87 [ 13, 9 ] ad th"	22899	45.80%
"347 [ 26, 22 ] as td"	22897	45.79%
"714 [ 38, 11 ] ks qh"	22895	45.79%
"727 [ 38, 24 ] ks qd"	22873	45.75%
"691 [ 37, 25 ] qs kd"	22872	45.74%
"750 [ 39, 9 ] ac th"	22864	45.73%
"1299 [ 51, 24 ] kc qd"	22857	45.71%
"595 [ 35, 0 ] ts ah"	22844	45.69%
"763 [ 39, 22 ] ac td"	22844	45.69%
"678 [ 37, 12 ] qs kh"	22834	45.67%
"1312 [ 51, 37 ] kc qs"	22827	45.65%
"1237 [ 50, 12 ] qc kh"	22794	45.59%
"702 [ 37, 36 ] qs js"	22729	45.46%
"288 [ 24, 12 ] qd kh"	22727	45.45%
"21 [ 7, 0 ] 8h ah"	22720	45.44%
"334 [ 26, 9 ] as th"	22711	45.42%
"203 [ 20, 13 ] 8d ad"	22703	45.41%
"1274 [ 50, 49 ] qc jc"	22696	45.39%
"1250 [ 50, 25 ] qc kd"	22685	45.37%
"554 [ 33, 26 ] 8s as"	22644	45.29%
"65 [ 11, 10 ] qh jh"	22602	45.20%
"298 [ 24, 22 ] qd td"	22518	45.04%
"1074 [ 46, 39 ] 8c ac"	22435	44.87%
"1311 [ 51, 36 ] kc js"	22421	44.84%
"642 [ 36, 12 ] js kh"	22409	44.82%
"1298 [ 51, 23 ] kc jd"	22404	44.81%
"701 [ 37, 35 ] qs ts"	22376	44.75%
"1214 [ 49, 38 ] jc ks"	22303	44.61%
"1273 [ 50, 48 ] qc tc"	22301	44.60%
"1188 [ 49, 12 ] jc kh"	22268	44.54%
"1201 [ 49, 25 ] jc kd"	22262	44.52%
"726 [ 38, 23 ] ks jd"	22256	44.51%
"310 [ 25, 10 ] kd jh"	22237	44.47%
"265 [ 23, 12 ] jd kh"	22212	44.42%
"184 [ 19, 13 ] 7d ad"	22207	44.41%
"655 [ 36, 25 ] js kd"	22175	44.35%
"522 [ 32, 26 ] 7s as"	22149	44.30%
"713 [ 38, 10 ] ks jh"	22128	44.26%
"1285 [ 51, 10 ] kc jh"	22116	44.23%
"64 [ 11, 9 ] qh th"	22109	44.22%
"470 [ 31, 5 ] 6s 6h"	22082	44.16%
"977 [ 44, 31 ] 6c 6s"	22072	44.14%
"15 [ 6, 0 ] 7h ah"	22056	44.11%
"1029 [ 45, 39 ] 7c ac"	22048	44.10%
"737 [ 38, 34 ] ks 9s"	22037	44.07%
"483 [ 31, 18 ] 6s 6d"	22009	44.02%
"74 [ 12, 8 ] kh 9h"	21999	44.00%
"1322 [ 51, 47 ] kc 9c"	21937	43.87%
"1140 [ 48, 12 ] tc kh"	21888	43.78%
"158 [ 18, 5 ] 6d 6h"	21887	43.77%
"1166 [ 48, 38 ] tc ks"	21885	43.77%
"321 [ 25, 21 ] kd 9d"	21870	43.74%
"1153 [ 48, 25 ] tc kd"	21864	43.73%
"6 [ 4, 0 ] 5h ah"	21857	43.71%
"665 [ 36, 35 ] js ts"	21852	43.70%
"574 [ 34, 13 ] 9s ad"	21851	43.70%
"964 [ 44, 18 ] 6c 6d"	21851	43.70%
