"338 [ 26, 13 ] as ad"	17555	35.11%
"78 [ 13, 0 ] ad ah"	17540	35.08%
"741 [ 39, 0 ] ac ah"	17503	35.01%
"754 [ 39, 13 ] ac ad"	17502	35.00%
"767 [ 39, 26 ] ac as"	17454	34.91%
"325 [ 26, 0 ] as ah"	17407	34.81%
"715 [ 38, 12 ] ks kh"	14907	29.81%
"1313 [ 51, 38 ] kc ks"	14821	29.64%
"1300 [ 51, 25 ] kc kd"	14772	29.54%
"1287 [ 51, 12 ] kc kh"	14718	29.44%
"728 [ 38, 25 ] ks kd"	14711	29.42%
"312 [ 25, 12 ] kd kh"	14694	29.39%
"690 [ 37, 24 ] qs qd"	12921	25.84%
"1236 [ 50, 11 ] qc qh"	12906	25.81%
"1262 [ 50, 37 ] qc qs"	12846	25.69%
"287 [ 24, 11 ] qd qh"	12743	25.49%
"1249 [ 50, 24 ] qc qd"	12729	25.46%
"677 [ 37, 11 ] qs qh"	12707	25.41%
"313 [ 25, 13 ] kd ad"	11932	23.86%
"1314 [ 51, 39 ] kc ac"	11929	23.86%
"729 [ 38, 26 ] ks as"	11904	23.81%
"66 [ 12, 0 ] kh ah"	11828	23.66%
"55 [ 11, 0 ] qh ah"	11340	22.68%
"289 [ 24, 13 ] qd ad"	11321	22.64%
"692 [ 37, 26 ] qs as"	11262	22.52%
"1186 [ 49, 10 ] jc jh"	11262	22.52%
"1212 [ 49, 36 ] jc js"	11230	22.46%
"640 [ 36, 10 ] js jh"	11223	22.45%
"263 [ 23, 10 ] jd jh"	11195	22.39%
"653 [ 36, 23 ] js jd"	11151	22.30%
"1199 [ 49, 23 ] jc jd"	11125	22.25%
"1264 [ 50, 39 ] qc ac"	11065	22.13%
"324 [ 25, 24 ] kd qd"	11018	22.04%
"77 [ 12, 11 ] kh qh"	10896	21.79%
"1215 [ 49, 39 ] jc ac"	10846	21.69%
"266 [ 23, 13 ] jd ad"	10820	21.64%
"1325 [ 51, 50 ] kc qc"	10793	21.59%
"45 [ 10, 0 ] jh ah"	10783	21.57%
"740 [ 38, 37 ] ks qs"	10782	21.56%
"656 [ 36, 26 ] js as"	10637	21.27%
"739 [ 38, 36 ] ks js"	10450	20.90%
"244 [ 22, 13 ] td ad"	10403	20.81%
"1275 [ 51, 0 ] kc ah"	10378	20.76%
"36 [ 9, 0 ] th ah"	10365	20.73%
"1324 [ 51, 49 ] kc jc"	10360	20.72%
"323 [ 25, 23 ] kd jd"	10356	20.71%
"350 [ 26, 25 ] as kd"	10334	20.67%
"300 [ 25, 0 ] kd ah"	10326	20.65%
"621 [ 35, 26 ] ts as"	10319	20.64%
"716 [ 38, 13 ] ks ad"	10272	20.54%
"1301 [ 51, 26 ] kc as"	10256	20.51%
"753 [ 39, 12 ] ac kh"	10253	20.51%
"76 [ 12, 10 ] kh jh"	10252	20.50%
"702 [ 37, 36 ] qs js"	10238	20.48%
"1274 [ 50, 49 ] qc jc"	10235	20.47%
"65 [ 11, 10 ] qh jh"	10218	20.44%
"766 [ 39, 25 ] ac kd"	10217	20.43%
"1167 [ 48, 39 ] tc ac"	10196	20.39%
"337 [ 26, 12 ] as kh"	10163	20.33%
