"338 [ 26, 13 ] as ad"	42840	85.68%
"754 [ 39, 13 ] ac ad"	42749	85.50%
"741 [ 39, 0 ] ac ah"	42720	85.44%
"767 [ 39, 26 ] ac as"	42713	85.43%
"325 [ 26, 0 ] as ah"	42709	85.42%
"78 [ 13, 0 ] ad ah"	42676	85.35%
"1287 [ 51, 12 ] kc kh"	41425	82.85%
"715 [ 38, 12 ] ks kh"	41423	82.85%
"1300 [ 51, 25 ] kc kd"	41417	82.83%
"312 [ 25, 12 ] kd kh"	41399	82.80%
"1313 [ 51, 38 ] kc ks"	41371	82.74%
"728 [ 38, 25 ] ks kd"	41231	82.46%
"677 [ 37, 11 ] qs qh"	40250	80.50%
"690 [ 37, 24 ] qs qd"	40176	80.35%
"1249 [ 50, 24 ] qc qd"	40163	80.33%
"1236 [ 50, 11 ] qc qh"	40046	80.09%
"1262 [ 50, 37 ] qc qs"	40037	80.07%
"287 [ 24, 11 ] qd qh"	40012	80.02%
"1212 [ 49, 36 ] jc js"	39088	78.18%
"653 [ 36, 23 ] js jd"	39027	78.05%
"263 [ 23, 10 ] jd jh"	38948	77.90%
"1186 [ 49, 10 ] jc jh"	38888	77.78%
"640 [ 36, 10 ] js jh"	38768	77.54%
"1199 [ 49, 23 ] jc jd"	38740	77.48%
"604 [ 35, 9 ] ts th"	37702	75.40%
"1163 [ 48, 35 ] tc ts"	37665	75.33%
"1150 [ 48, 22 ] tc td"	37640	75.28%
"1137 [ 48, 9 ] tc th"	37635	75.27%
"617 [ 35, 22 ] ts td"	37535	75.07%
"240 [ 22, 9 ] td th"	37480	74.96%
"1102 [ 47, 21 ] 9c 9d"	36329	72.66%
"1115 [ 47, 34 ] 9c 9s"	36227	72.45%
"569 [ 34, 8 ] 9s 9h"	36225	72.45%
"582 [ 34, 21 ] 9s 9d"	36178	72.36%
"218 [ 21, 8 ] 9d 9h"	36165	72.33%
"1089 [ 47, 8 ] 9c 9h"	35959	71.92%
"1042 [ 46, 7 ] 8c 8h"	34949	69.90%
"1055 [ 46, 20 ] 8c 8d"	34832	69.66%
"1068 [ 46, 33 ] 8c 8s"	34813	69.63%
"548 [ 33, 20 ] 8s 8d"	34683	69.37%
"197 [ 20, 7 ] 8d 8h"	34676	69.35%
"535 [ 33, 7 ] 8s 8h"	34664	69.33%
"1314 [ 51, 39 ] kc ac"	34089	68.18%
"729 [ 38, 26 ] ks as"	33861	67.72%
"66 [ 12, 0 ] kh ah"	33821	67.64%
"692 [ 37, 26 ] qs as"	33798	67.60%
"313 [ 25, 13 ] kd ad"	33762	67.52%
"55 [ 11, 0 ] qh ah"	33603	67.21%
"502 [ 32, 6 ] 7s 7h"	33540	67.08%
"1264 [ 50, 39 ] qc ac"	33521	67.04%
"1009 [ 45, 19 ] 7c 7d"	33416	66.83%
"289 [ 24, 13 ] qd ad"	33406	66.81%
"300 [ 25, 0 ] kd ah"	33326	66.65%
"515 [ 32, 19 ] 7s 7d"	33295	66.59%
"996 [ 45, 6 ] 7c 7h"	33245	66.49%
"177 [ 19, 6 ] 7d 7h"	33231	66.46%
"1215 [ 49, 39 ] jc ac"	33223	66.45%
"1022 [ 45, 32 ] 7c 7s"	33208	66.42%
"1275 [ 51, 0 ] kc ah"	33178	66.36%
"656 [ 36, 26 ] js as"	33172	66.34%
"1288 [ 51, 13 ] kc ad"	33146	66.29%
"90 [ 13, 12 ] ad kh"	33145	66.29%
"266 [ 23, 13 ] jd ad"	33143	66.29%
"1301 [ 51, 26 ] kc as"	33138	66.28%
"45 [ 10, 0 ] jh ah"	33126	66.25%
"716 [ 38, 13 ] ks ad"	33109	66.22%
"337 [ 26, 12 ] as kh"	33085	66.17%
"350 [ 26, 25 ] as kd"	33075	66.15%
"779 [ 39, 38 ] ac ks"	32999	66.00%
