"691 [ 37, 25 ] qs kd"	13197	26.39%
"678 [ 37, 12 ] qs kh"	13194	26.39%
"298 [ 24, 22 ] qd td"	13179	26.36%
"335 [ 26, 10 ] as jh"	13129	26.26%
"348 [ 26, 23 ] as jd"	13111	26.22%
"1250 [ 50, 25 ] qc kd"	13110	26.22%
"1299 [ 51, 24 ] kc qd"	13091	26.18%
"311 [ 25, 11 ] kd qh"	13060	26.12%
"1224 [ 49, 48 ] jc tc"	13054	26.11%
"1176 [ 49, 0 ] jc ah"	13049	26.10%
"288 [ 24, 12 ] qd kh"	13042	26.08%
"1312 [ 51, 37 ] kc qs"	13039	26.08%
"587 [ 34, 26 ] 9s as"	13037	26.07%
"1202 [ 49, 26 ] jc as"	12976	25.95%
"253 [ 23, 0 ] jd ah"	12961	25.92%
"1120 [ 47, 39 ] 9c ac"	12961	25.92%
"223 [ 21, 13 ] 9d ad"	12952	25.90%
"643 [ 36, 13 ] js ad"	12945	25.89%
"777 [ 39, 36 ] ac js"	12914	25.83%
"751 [ 39, 10 ] ac jh"	12909	25.82%
"1189 [ 49, 13 ] jc ad"	12891	25.78%
"88 [ 13, 10 ] ad jh"	12848	25.70%
"764 [ 39, 23 ] ac jd"	12844	25.69%
"28 [ 8, 0 ] 9h ah"	12818	25.64%
"630 [ 36, 0 ] js ah"	12784	25.57%
"554 [ 33, 26 ] 8s as"	12732	25.46%
"1285 [ 51, 10 ] kc jh"	12691	25.38%
"726 [ 38, 23 ] ks jd"	12604	25.21%
"203 [ 20, 13 ] 8d ad"	12575	25.15%
"1298 [ 51, 23 ] kc jd"	12560	25.12%
"310 [ 25, 10 ] kd jh"	12555	25.11%
"1074 [ 46, 39 ] 8c ac"	12548	25.10%
"1311 [ 51, 36 ] kc js"	12548	25.10%
"231 [ 22, 0 ] td ah"	12534	25.07%
"1214 [ 49, 38 ] jc ks"	12518	25.04%
"1154 [ 48, 26 ] tc as"	12495	24.99%
"548 [ 33, 20 ] 8s 8d"	12494	24.99%
"21 [ 7, 0 ] 8h ah"	12491	24.98%
"655 [ 36, 25 ] js kd"	12491	24.98%
"1201 [ 49, 25 ] jc kd"	12479	24.96%
"535 [ 33, 7 ] 8s 8h"	12478	24.96%
"763 [ 39, 22 ] ac td"	12475	24.95%
"737 [ 38, 34 ] ks 9s"	12474	24.95%
"265 [ 23, 12 ] jd kh"	12469	24.94%
"608 [ 35, 13 ] ts ad"	12469	24.94%
"1128 [ 48, 0 ] tc ah"	12465	24.93%
"713 [ 38, 10 ] ks jh"	12464	24.93%
"334 [ 26, 9 ] as th"	12463	24.93%
"87 [ 13, 9 ] ad th"	12454	24.91%
"642 [ 36, 12 ] js kh"	12454	24.91%
"347 [ 26, 22 ] as td"	12425	24.85%
"1322 [ 51, 47 ] kc 9c"	12399	24.80%
"595 [ 35, 0 ] ts ah"	12387	24.77%
"1141 [ 48, 13 ] tc ad"	12383	24.77%
"74 [ 12, 8 ] kh 9h"	12380	24.76%
"1055 [ 46, 20 ] 8c 8d"	12342	24.68%
"776 [ 39, 35 ] ac ts"	12336	24.67%
"197 [ 20, 7 ] 8d 8h"	12331	24.66%
"1188 [ 49, 12 ] jc kh"	12316	24.63%
"264 [ 23, 11 ] jd qh"	12296	24.59%
"676 [ 37, 10 ] qs jh"	12296	24.59%
"1029 [ 45, 39 ] 7c ac"	12281	24.56%
"321 [ 25, 21 ] kd 9d"	12266	24.53%
"1068 [ 46, 33 ] 8c 8s"	12256	24.51%
"461 [ 30, 26 ] 5s as"	12253	24.51%
"750 [ 39, 9 ] ac th"	12253	24.51%
"1042 [ 46, 7 ] 8c 8h"	12239	24.48%
"629 [ 35, 34 ] ts 9s"	12232	24.46%
"15 [ 6, 0 ] 7h ah"	12223	24.45%
"286 [ 24, 10 ] qd jh"	12223	24.45%
"1235 [ 50, 10 ] qc jh"	12202	24.40%
"654 [ 36, 24 ] js qd"	12194	24.39%
"63 [ 11, 8 ] qh 9h"	12192	24.38%
"689 [ 37, 23 ] qs jd"	12189	24.38%
"1248 [ 50, 23 ] qc jd"	12179	24.36%
"6 [ 4, 0 ] 5h ah"	12178	24.36%
"1187 [ 49, 11 ] jc qh"	12174	24.35%
"620 [ 35, 25 ] ts kd"	12171	24.34%
"184 [ 19, 13 ] 7d ad"	12169	24.34%
"641 [ 36, 11 ] js qh"	12152	24.30%
"700 [ 37, 34 ] qs 9s"	12143	24.29%
"1213 [ 49, 37 ] jc qs"	12139	24.28%
"1261 [ 50, 36 ] qc js"	12131	24.26%
"1200 [ 49, 24 ] jc qd"	12129	24.26%
"309 [ 25, 9 ] kd th"	12112	24.22%
"1272 [ 50, 47 ] qc 9c"	12105	24.21%
"297 [ 24, 21 ] qd 9d"	12097	24.19%
"522 [ 32, 26 ] 7s as"	12096	24.19%
"149 [ 17, 13 ] 5d ad"	12070	24.14%
"1223 [ 49, 47 ] jc 9c"	12065	24.13%
"942 [ 43, 39 ] 5c ac"	12056	24.11%
"44 [ 9, 8 ] th 9h"	12055	24.11%
"1175 [ 48, 47 ] tc 9c"	12047	24.09%
"1140 [ 48, 12 ] tc kh"	12045	24.09%
"1153 [ 48, 25 ] tc kd"	12015	24.03%
"1310 [ 51, 35 ] kc ts"	11973	23.95%
"166 [ 18, 13 ] 6d ad"	11972	23.94%
"252 [ 22, 21 ] td 9d"	11968	23.94%
"53 [ 10, 8 ] jh 9h"	11964	23.93%
"607 [ 35, 12 ] ts kh"	11946	23.89%
"274 [ 23, 21 ] jd 9d"	11940	23.88%
"1284 [ 51, 9 ] kc th"	11919	23.84%
"491 [ 31, 26 ] 6s as"	11913	23.83%
"243 [ 22, 12 ] td kh"	11907	23.81%
"432 [ 29, 26 ] 4s as"	11896	23.79%
"1297 [ 51, 22 ] kc td"	11878	23.76%
"664 [ 36, 34 ] js 9s"	11870	23.74%
"900 [ 42, 39 ] 4c ac"	11866	23.73%
"725 [ 38, 22 ] ks td"	11860	23.72%
"1166 [ 48, 38 ] tc ks"	11860	23.72%
"3 [ 3, 0 ] 4h ah"	11857	23.71%
"10 [ 5, 0 ] 6h ah"	11848	23.70%
"985 [ 44, 39 ] 6c ac"	11847	23.69%
"133 [ 16, 13 ] 4d ad"	11845	23.69%
"712 [ 38, 9 ] ks th"	11797	23.59%
"118 [ 15, 13 ] 3d ad"	11792	23.58%
"1260 [ 50, 35 ] qc ts"	11731	23.46%
"285 [ 24, 9 ] qd th"	11728	23.46%
"688 [ 37, 22 ] qs td"	11721	23.44%
"1138 [ 48, 10 ] tc jh"	11687	23.37%
"1152 [ 48, 24 ] tc qd"	11684	23.37%
"1139 [ 48, 11 ] tc qh"	11675	23.35%
"404 [ 28, 26 ] 3s as"	11665	23.33%
"1164 [ 48, 36 ] tc js"	11662	23.32%
"606 [ 35, 11 ] ts qh"	11658	23.32%
"1165 [ 48, 37 ] tc qs"	11653	23.31%
"619 [ 35, 24 ] ts qd"	11649	23.30%
"1211 [ 49, 35 ] jc ts"	11639	23.28%
"241 [ 22, 10 ] td jh"	11631	23.26%
"1247 [ 50, 22 ] qc td"	11603	23.21%
"242 [ 22, 11 ] td qh"	11587	23.17%
"1234 [ 50, 9 ] qc th"	11579	23.16%
"859 [ 41, 39 ] 3c ac"	11566	23.13%
"618 [ 35, 23 ] ts jd"	11565	23.13%
"1198 [ 49, 22 ] jc td"	11564	23.13%
"1 [ 2, 0 ] 3h ah"	11554	23.11%
"605 [ 35, 10 ] ts jh"	11541	23.08%
"1185 [ 49, 9 ] jc th"	11531	23.06%
"262 [ 23, 9 ] jd th"	11527	23.05%
"1151 [ 48, 23 ] tc jd"	11523	23.05%
"320 [ 25, 20 ] kd 8d"	11513	23.03%
"639 [ 36, 9 ] js th"	11500	23.00%
"652 [ 36, 22 ] js td"	11478	22.96%
"675 [ 37, 9 ] qs th"	11468	22.94%
"736 [ 38, 33 ] ks 8s"	11466	22.93%
"73 [ 12, 7 ] kh 8h"	11384	22.77%
"377 [ 27, 26 ] 2s as"	11351	22.70%
"43 [ 9, 7 ] th 8h"	11326	22.65%
"1321 [ 51, 46 ] kc 8c"	11312	22.62%
"699 [ 37, 33 ] qs 8s"	11272	22.54%
"1174 [ 48, 46 ] tc 8c"	11265	22.53%
"1271 [ 50, 46 ] qc 8c"	11250	22.50%
"1022 [ 45, 32 ] 7c 7s"	11247	22.49%
"177 [ 19, 6 ] 7d 7h"	11233	22.47%
