"78 [ 13, 0 ] ad ah"	39544	56.49%
"325 [ 26, 0 ] as ah"	39513	56.45%
"767 [ 39, 26 ] ac as"	39436	56.34%
"754 [ 39, 13 ] ac ad"	39423	56.32%
"741 [ 39, 0 ] ac ah"	39306	56.15%
"338 [ 26, 13 ] as ad"	39277	56.11%
"1313 [ 51, 38 ] kc ks"	35271	50.39%
"312 [ 25, 12 ] kd kh"	35161	50.23%
"1287 [ 51, 12 ] kc kh"	35147	50.21%
"715 [ 38, 12 ] ks kh"	35075	50.11%
"728 [ 38, 25 ] ks kd"	35055	50.08%
"1300 [ 51, 25 ] kc kd"	34981	49.97%
"690 [ 37, 24 ] qs qd"	31972	45.67%
"677 [ 37, 11 ] qs qh"	31742	45.35%
"1262 [ 50, 37 ] qc qs"	31716	45.31%
"1249 [ 50, 24 ] qc qd"	31611	45.16%
"1236 [ 50, 11 ] qc qh"	31514	45.02%
"287 [ 24, 11 ] qd qh"	31505	45.01%
"640 [ 36, 10 ] js jh"	28723	41.03%
"1186 [ 49, 10 ] jc jh"	28685	40.98%
"1199 [ 49, 23 ] jc jd"	28588	40.84%
"263 [ 23, 10 ] jd jh"	28528	40.75%
"1212 [ 49, 36 ] jc js"	28504	40.72%
"653 [ 36, 23 ] js jd"	28418	40.60%
"1163 [ 48, 35 ] tc ts"	26179	37.40%
"1137 [ 48, 9 ] tc th"	26013	37.16%
"240 [ 22, 9 ] td th"	25950	37.07%
"604 [ 35, 9 ] ts th"	25943	37.06%
"1150 [ 48, 22 ] tc td"	25928	37.04%
"617 [ 35, 22 ] ts td"	25849	36.93%
"313 [ 25, 13 ] kd ad"	25809	36.87%
"66 [ 12, 0 ] kh ah"	25679	36.68%
"1314 [ 51, 39 ] kc ac"	25614	36.59%
"729 [ 38, 26 ] ks as"	25542	36.49%
"1264 [ 50, 39 ] qc ac"	24578	35.11%
"289 [ 24, 13 ] qd ad"	24465	34.95%
"55 [ 11, 0 ] qh ah"	24412	34.87%
"692 [ 37, 26 ] qs as"	24278	34.68%
"740 [ 38, 37 ] ks qs"	23904	34.15%
"1275 [ 51, 0 ] kc ah"	23804	34.01%
"1325 [ 51, 50 ] kc qc"	23789	33.98%
"656 [ 36, 26 ] js as"	23712	33.87%
"324 [ 25, 24 ] kd qd"	23696	33.85%
"1215 [ 49, 39 ] jc ac"	23695	33.85%
"90 [ 13, 12 ] ad kh"	23624	33.75%
"266 [ 23, 13 ] jd ad"	23615	33.74%
"45 [ 10, 0 ] jh ah"	23596	33.71%
"350 [ 26, 25 ] as kd"	23561	33.66%
"77 [ 12, 11 ] kh qh"	23515	33.59%
"779 [ 39, 38 ] ac ks"	23497	33.57%
"1288 [ 51, 13 ] kc ad"	23455	33.51%
"337 [ 26, 12 ] as kh"	23453	33.50%
"703 [ 38, 0 ] ks ah"	23444	33.49%
"300 [ 25, 0 ] kd ah"	23439	33.48%
"766 [ 39, 25 ] ac kd"	23418	33.45%
"753 [ 39, 12 ] ac kh"	23409	33.44%
"1115 [ 47, 34 ] 9c 9s"	23340	33.34%
"1301 [ 51, 26 ] kc as"	23331	33.33%
"569 [ 34, 8 ] 9s 9h"	23324	33.32%
"716 [ 38, 13 ] ks ad"	23298	33.28%
"218 [ 21, 8 ] 9d 9h"	23259	33.23%
"1102 [ 47, 21 ] 9c 9d"	23181	33.12%
"1089 [ 47, 8 ] 9c 9h"	23144	33.06%
"582 [ 34, 21 ] 9s 9d"	23094	32.99%
"244 [ 22, 13 ] td ad"	23048	32.93%
"1167 [ 48, 39 ] tc ac"	23025	32.89%
"621 [ 35, 26 ] ts as"	22960	32.80%
"36 [ 9, 0 ] th ah"	22910	32.73%
"323 [ 25, 23 ] kd jd"	22861	32.66%
"739 [ 38, 36 ] ks js"	22807	32.58%
"76 [ 12, 10 ] kh jh"	22792	32.56%
"1324 [ 51, 49 ] kc jc"	22706	32.44%
"276 [ 24, 0 ] qd ah"	22433	32.05%
"349 [ 26, 24 ] as qd"	22345	31.92%
"778 [ 39, 37 ] ac qs"	22344	31.92%
"1238 [ 50, 13 ] qc ad"	22330	31.90%
"765 [ 39, 24 ] ac qd"	22328	31.90%
"89 [ 13, 11 ] ad qh"	22324	31.89%
"666 [ 37, 0 ] qs ah"	22308	31.87%
"1251 [ 50, 26 ] qc as"	22296	31.85%
"752 [ 39, 11 ] ac qh"	22279	31.83%
"1225 [ 50, 0 ] qc ah"	22255	31.79%
"679 [ 37, 13 ] qs ad"	22191	31.70%
"65 [ 11, 10 ] qh jh"	22182	31.69%
"336 [ 26, 11 ] as qh"	22168	31.67%
"322 [ 25, 22 ] kd td"	22156	31.65%
"299 [ 24, 23 ] qd jd"	22140	31.63%
"702 [ 37, 36 ] qs js"	22090	31.56%
"1323 [ 51, 48 ] kc tc"	22035	31.48%
"1274 [ 50, 49 ] qc jc"	21992	31.42%
"738 [ 38, 35 ] ks ts"	21935	31.34%
"75 [ 12, 9 ] kh th"	21837	31.20%
"727 [ 38, 24 ] ks qd"	21678	30.97%
"288 [ 24, 12 ] qd kh"	21628	30.90%
"1299 [ 51, 24 ] kc qd"	21600	30.86%
"1263 [ 50, 38 ] qc ks"	21557	30.80%
"1312 [ 51, 37 ] kc qs"	21542	30.77%
"64 [ 11, 9 ] qh th"	21513	30.73%
"701 [ 37, 35 ] qs ts"	21506	30.72%
